origin	region	variety
Brazylia	Ilicnea, Sul de Minas	proces
Tanzania	-	mix
washed	Huehuetenango	proces
washed	Huehuetenango	proces
Honduras	Marcala	proces
Honduras	Marcala	proces
Indonezja	Lintong	proces
Kenia	-	proces
Kolumbia	Huila	proces
Brazylia	Guji	proces
Etiopia	Shale, Worka, Yirgacheffe, strefa Gedeo	Heirloom
espresso	-	Caturra, Catuai, Bourbon
Kuba		
Kenia	Kirinyaga	Ruiru 11, Sl34, Sl28, Batian
Salwador	Santa Ana	Bourbon
Brazylia		
Brazylia		
Brazylia		
Brazylia	Minais Gerais, Cerrado	Bourbon, Mundo Nuovo
Brazylia	Minais Gerais, Cerrado	Bourbon, Mundo Nuovo
Etiopia	Sidamo	proces
Etiopia	-	proces
Etiopia	Guji	proces
Brazylia	-	mix
Honduras	-	mix
Kolumbia	Huila	proces
Kolumbia		
Kolumbia	Cauca	Castillo
Kolumbia	Cauca	Castillo
Kolumbia	Cauca	Castillo
Brazylia	Campo das Vertentes	Catuai, Mundo Novo, Topazio
Honduras	-	Catuai
Honduras	-	Catuai
Kostaryka	Central Valley	Sl28
Brazylia		
Brazylia	-	-
Brazylia	-	-
Meksyk		
espressoekspres / kawiarka		
espressoekspres / kawiarka		
Kolumbia	Jordan, Planadas, Tolima	Castillo
przelew		
Brazylia	Cerrado Mineiro	-
Kolumbia	Kordyliera Środkowa	-
washed	-	-
natural		
Salwador	Cordillera de Balsamo	proces
Indonezja	Lintong	proces
Brazylia	Minas Gerais	Yellow Catuai
Etiopia	Gedeb	Heirloom
Kolumbia		
Kolumbia	Tolima	Caturra
Kolumbia	-	-
Brazylia	-	-
Brazylia	-	-
Kenia		
Meksyk		
Kuba		
natural		
Tanzania	-	mix
Kostaryka	Brunca, Chirripó	proces
Etiopia	Gedeo	Heirloom
Etiopia	Gedeo	Heirloom
Kolumbia		
Kolumbia	Risaralda	Caturra
Kolumbia	Tolima	Caturra
Kolumbia		
Kostaryka	Cartago	Marsellesa & Red Obata
Rwanda	Nyamasheke	Bourbon
Brazylia	Minas Gerais	Yellow Bourbon
Brazylia	Minas Gerais	Yellow Bourbon
natural		
Etiopia	Yirgacheffe	Heirloom
Etiopia	Yirgacheffe	Heirloom
Kenia	Nyeri	Sl14 & Sl28
Kostaryka	Tarrazú	Red Catuaí
Uganda		
Uganda		
Brazylia		
Gwatemala	Huehuetenago	Bourbon, Catuai, Caturra
Kolumbia	-	-
Brazylia	Campo das Vertentes	Catuai, Mundo Novo, Topazio
Etiopia	Sidama	Wollega
honey	-	blend
Etiopia	Yirgacheffe / Los Santos / Atitlan	kurume / caturra / typica
Gwatemala	Antigua	proces
Kenia		
Kolumbia		
Brazylia	Cerrado Mineiro	Catuai
Etiopia	Yirgacheffe	Heirloom
Honduras	Santa Barbara	Parainema
Kolumbia	Huila	Pink Bourbon
Rwanda		
Rwanda		
Rwanda		
Rwanda		
Rwanda		
Rwanda		
Brazylia	Cerrado	-
Brazylia		
Brazylia		
Brazylia	Cerrado	Yellow Bourbon
Etiopia	Sidama	Heirloom
Etiopia	Yirgacheffe	Mixed Heirloom
Honduras	La Paz	Catui
Kenia	Nyeri	SL28, SL34
Kostaryka	West Valley	H3
Brazylia		
espressoekspres / kawiarka		
espressoekspres / kawiarka		
espressoekspres / kawiarka		
espressoekspres / kawiarka		
espressoekspres / kawiarka		
espressoekspres / kawiarka		
Meksyk		
Meksyk		
		
Brazylia	São Sebastião da Grama, São Paulo	Catuai + Obata
Etiopia	Megadu, Guji	Wild Guji,JARC 74112
Kolumbia	Piendamo, Cauca	Castillo
Kolumbia	Piendamo, Cauca	Castillo
Kolumbia	Cauca	Pink Bourbon
Panama	Boquete	Catuai
Kostaryka	Tarrazu	Red Catuai
Brazylia		
Indonezja	Pegasing	Tim Tim & Gayo 1
Kenia	Kibugu, Embu	Sl34, Sl28
Kolumbia	Inzá, Cauca	Tabi, Pink Bourbon, Caturra, Colombia
		
Salwador	Ahuachapán, Los Naranjos	Pacamara
Peru	Cajamarca	-
Brazylia	Campo das Vertentes	Catuai, Mundo Novo, Topazio
Kenia		
Etiopia	Yirgacheffe	Heirloom
Brazylia	Mata de Minas	Catimor
Brazylia	Mata De Minas	red & yellow catuai
Brazylia	Mata De Minas	red & yellow catuai
Brazylia		
Brazylia		
Kolumbia		
Kenia	Guji	gibirinna 74110, serto 74112
Etiopia		
washed		
Kolumbia	Pijao	Mokka
Kolumbia	Cauca	Caturra, Chiroso
Kolumbia	Cundinamarca	colombia, castillo, typica
Kolumbia	Cundinamarca	colombia, castillo, typica
Kolumbia	Cundinamarca	colombia, castillo, typica
Etiopia	Sukke Qutto Kebele, Shaakiso Woreda, Guji Zone	Guji
Kenia	Murang’a, Central Kenya	Sl28, Sl34
Kolumbia	Huila	Sl28
Kolumbia	Pitalito	Pink Bourbon
Panama	Alto Lino, Boquete	Caturra
Gwatemala	La Antigua	Bourbon, Catuai
Kolumbia	Piendamo, Cauca	Castillo
Etiopia	Yirgacheffe	-
Indonezja	-	Ateng, Caturra
Etiopia	Arbegona	74158
Kolumbia	Quindio	Caturra, Pink Bourbon
Kolumbia	Quindio	Caturra, Pink Bourbon
Indie	Yercaud	SLN 9
Kolumbia	Tolima	Gesha
Kenia		
Meksyk	Chiapas	Ana Café 14, Gesha
Peru	Cajamarca	Mundo Novo, Catuai
Brazylia		
Etiopia	Jimma, Oromia	Heirloom
Kolumbia	Inzá, Cauca	Pink Bourbon, Caturro Chiroso
Kolumbia	-	Sl14, Sl28
Salwador	Calzontes Arriba	Sl28
Brazylia		
Brazylia		
Brazylia		
Kolumbia	Sotara, Cauca	Pink Bourbon
		
Brazylia		
espresso	-	-
Gwatemala	Acatenango	H1
Kenia	Kirinyaga District	Sl28, Sl34, Baitan, Ruiru 11
Rwanda		
Brazylia		
Gwatemala	La Antigua	Bourbon, Catuai
Peru		
Gwatemala		
Gwatemala		
pulped natural	-	-
Brazylia	Ilicnea, Sul de Minas	proces
Tanzania	-	mix
Tanzania	-	Kent, Bourbon, N39
Indonezja	-	Ateng, Caturra
Honduras	-	Typica, Caturra, Castillo
Honduras	-	Typica, Caturra, Castillo
Brazylia	-	Bourbon, Mundo Nuovo, Robusta
Peru	-	Caturra, Typica, Bourbon
Etiopia		
Kolumbia	Quindio	Caturra, Pink Bourbon
Kolumbia		
Kolumbia	Tolima	Caturra
Nikaragua	Mosonte, Nueva Segovia	Red Catuai
Brazylia	Mogiana	Sumatra
Kenia		
Salwador	Los Naranjos Valley, Sonsonate	Red Bourbon
natural		
Rwanda		
Brazylia		
Etiopia,		
Brazylia	Cerrado,Huehuetenango	-
Brazylia		
Gwatemala		
Kostaryka	-	-
Kolumbia	Nariño	Caturra, Castillo, Colombia
Kolumbia	Valle del Cauca	Pink Bourbon
Kostaryka	Tarrazu	Catuai
LaCava Black Art 350 g kawa ziarnista		
Rwanda	Gicumbi,Nensebo	Red Bourbon,Heriloom
Brazylia		
Brazylia		
natural		
Peru		
Brazylia		
Brazylia		
Gwatemala	Palencia	Yellow Bourbon
Kenia	Embu	Sl28, Sl34, Ruiru 11, Batian (AB)
Kostaryka	-	Caturra & Catuai
Kostaryka	Alajuela	Sl28
Kolumbia	Kordyliera Środkowa	-
Brazylia	Mogiana, Sao Paulo	Mundo Nuovo
Brazylia	Cerrado	Yellow Bourbon
Kolumbia	Cauca	-
Gwatemala	Huehuetenango / jakiś pros	caturra, typica / coś fajnego
Kostaryka	Lia Lia,Dois Irmãos	Catuai,Mundo Novo
Kenia	Kirinyaga	Sl28, Sl34, Batian, Ruiru 11
Kolumbia	Palestina, Huila	Caturra
Kostaryka	Dolina Dota, Tarrazu	Red Catuai
Salwador	Usulutan	Pacamara
Gwatemala	La Pastora,Monte Belo	mix odmian
Gwatemala	La Pastora,Monte Belo	mix odmian
Kolumbia	La Serrania,CO2 Cooperativa	mix
Rwanda	Gicumbi,Nensebo	Red Bourbon,Heriloom
Rwanda	Gicumbi,Simbi	Red Bourbon
Rwanda	Gicumbi,Simbi	Red Bourbon
Etiopia	Sidamo Oromia,Gicumbi	Heirloom,Red Bourbon
Etiopia	Sidamo Oromia,Gicumbi	Heirloom,Red Bourbon
Indonezja	Sumatra Lintong,La Pastora,Monte Belo	mix odmian
Indonezja	Sumatra Lintong,La Pastora,Monte Belo	mix odmian
Honduras	Los Lirios,Las Guzmanias,Monte Belo	mix odmian
Rwanda	zachodnia Rwanda	Geisha
Rwanda		
Kolumbia		
Peru	-	Caturra, Typica, Bourbon
Kolumbia	Palestina	Red & Pink Bourbon
Kostaryka		
Peru	-	-
Indonezja	Sumatra Lintong,Los Lirios,Monte Belo	mix odmian
Rwanda		
Rwanda		
espressoekspres / kawiarka	-	-
Honduras	-	-
Kolumbia	-	-
Meksyk	-	-
Peru	-	-
Brazylia		
Etiopia		
Etiopia		
Brazylia	Cerrado Mineiro	mix
Brazylia	-	mix
Etiopia	Guji	proces
Tanzania	-	mix
Tanzania	-	Kent, Bourbon, N39
Etiopia	-	Heirloom, Jarc
Kolumbia	Marcala	TypicaCaturraCastillo
Gwatemala	Huehuetenango	proces
Honduras	Marcala	BourbonCaturraTypica
Brazylia	-	Bourbon, Mundo Nuovo, Robusta
Brazylia	-	Bourbon Mundo Nuovo Robusta
Kenia	Nyeri	Sl28Sl34Ruiru 11
Kolumbia	Huila	Caturra
Brazylia	-	Yellow Bourbon,Jarc
Kolumbia	Risaralda	Caturra
Kolumbia		
Kolumbia		
Kolumbia	Risaralda	Caturra
Gwatemala	Huehuetenango	Caturra, Catuai, Bourbon
Peru		
espressoekspres / kawiarka		
Kolumbia		
Kongo		
Kolumbia		
Meksyk		
Kolumbia	Argelia	-
Brazylia	Cerrado	Yellow Bourbon
Etiopia	Yirgacheffe	Mixed Heirloom
Gwatemala	Fraijanes	Pacamara
Kolumbia	Armenia	Caturra & Castillo
Kolumbia	Tolima	Caturra
Gwatemala		
Gwatemala		
Burundi	Kayanza	Red Bourbon
Etiopia	Uraga, Guji	Heirloom
Brazylia	Cocarive,Comisuyl	-
Brazylia	Cocarive,Comisuyl	-
Brazylia	Daterra,Co-operativa Agricola Integral Cafeales,Refisa	-
Brazylia	Daterra,Co-operativa Agricola Integral Cafeales,Refisa	-
Kenia	Kirinyaga	Sl28, Sl34
Brazylia	Daterra,Todosanterita,Vianí	-
Brazylia	Daterra,Todosanterita,Vianí	-
Meksyk	Chiapas	Typica, Boubon, Pacas, Ana Café 14
washed		
washed		
Kolumbia		
Brazylia		
Etiopia	Guji	74112, 74110
Brazylia		
Kongo		
Brazylia		
Rwanda	Gicumbi,Las Guzmanias,La Pastora	mix odmian
espressoekspres / kawiarka	-	-
Brazylia		
Brazylia	-	Ruby
Etiopia		
Etiopia		
Meksyk		
espressoekspres / kawiarka	-	-
espresso		
Gwatemala	Huehuetenango	Caturra, Bourbon
Rwanda		
Brazylia		
Brazylia		
Brazylia	Varjão de Minas	IPR100
metody alternatywne / przelewowe	Sidamo	74158
Kenia	Nyeri County	Sl28, Sl34, Batian, Ruiru 11
Kostaryka	Central Valley	Yellow Obata
Rwanda	Gakenke	IPR100
Honduras	Społeczność Rio Bonito w Siguatepeque	Red Catuaí
Brazylia	Campo das Vertentes	Yellow Catuaí
Etiopia	West Arsi	Dega, Wolisho
Kolumbia	Huila	Bourbon Aji
Uganda	Kanungo	Sl34, Sl18, Sl28
Rwanda		
Kolumbia		
Kolumbia		
carbonic macerationwashed	Shan	Red Catuai
Etiopia	Bule Hora, West Guji	Heirloom
Indonezja	Bandung,West Java	Andung Sari, Sigarar Utang
Brazylia		
natural		
Brazylia		
Etiopia		
Etiopia		
		
Kolumbia		
Rwanda		
Rwanda		
Rwanda		
Kolumbia		
Kolumbia	Huila	Red Bourbon
		
Meksyk		
Brazylia		
Brazylia		
Kenia		
Kolumbia		
Honduras		
Kolumbia		
espressoekspres / kawiarka		
Kolumbia		
Kolumbia		
omniroast		
Kolumbia		
washed		
Brazylia		
LaCava Certified 350g kawa ziarnista		
Rwanda	Gicumbi,Las Guzmanias,La Pastora	mix odmian
Honduras	Los Lirios,Las Guzmanias,Monte Belo	mix odmian
Brazylia		
Etiopia		
LaCava Certified 1 kg kawa ziarnista		
Brazylia	-	Caturra,
Kolumbia		
espressoekspres / kawiarka		
średnie		
średnie		
Brazylia		
Brazylia		
Brazylia		
Etiopia		
Kostaryka	Hacienda Sonora	BourbonJacksonMbirizi
espressoekspres / kawiarka		
espressoekspres / kawiarka		
espressoekspres / kawiarka		
espressoekspres / kawiarka		
		
Brazylia		
Brazylia		
espressoekspres / kawiarka		
espressoekspres / kawiarka		
espressoekspres / kawiarka		
espressoekspres / kawiarka		
Audun Brazylia Fazenda Miaki filtr 250 g kawa ziarnista		
Audun Brazylia Miaki 1 kg kawa ziarnista		
		
		
Audun Drip No. 1 Rwanda filtr 1kg kawa ziarnista		
DAK Rwanda The Alchemist filtr 250 g kawa ziarnista		
Coffee Hunter Brazylia Santos 1 kg kawa ziarnista		
		
		
		
		
		
		
		
Panama		
		
		
espresso		
espresso		
Brazylia		
Etiopia		
Brazylia		
Rwanda		
Wysocki Coffee Brazylia Cerrado 1kg kawa ziarnista		
